Title,Year,Company,Form,Episodes,Genres,Link
Genshiken 2: Menma Special,  2008,Arms  ,Special ,1,"Comedy,Magic,Parody",https://www.animeunity.tv/anime/1677-genshiken-2-menma-special/
Genshiken Nidaime,  2013,Production I.G  ,TV ,13,"Comedy,Parody,Slice of Life",https://www.animeunity.tv/anime/1028-genshiken-nidaime/
Genshiken Nidaime no Roku,  2013,Production I.G  ,OVA ,1,"Comedy,Parody,Slice of Life",https://www.animeunity.tv/anime/1030-genshiken-nidaime-no-roku/
Genshiken OVA,  2006,Ajia-Do  ,OVA ,3,"Comedy,Parody,Slice of Life",https://www.animeunity.tv/anime/1029-genshiken-ova/
Gensou Maden Saiyuuki (ITA),  2000,Studio Pierrot  ,TV ,50,"Adventure,Comedy,Drama",https://www.animeunity.tv/anime/2554-gensou-maden-saiyuuki-ita/
Gensou Sangokushi: Tengen Reishinki,  2022,GEEK TOYS  ,TV ,12,"Fantasy,Historical,",https://www.animeunity.tv/anime/3470-gensou-sangokushi-tengen-reishinki/
GetBackers: Dakkanya,  2002,Studio DEEN  ,TV ,49,"Action,Comedy,Drama",https://www.animeunity.tv/anime/2289-getbackers-dakkanya/
Getsuyoubi no Tawawa,  2016,PINE JAM  ,ONA ,12,"Ecchi,Slice of Life,",https://www.animeunity.tv/anime/2440-getsuyoubi-no-tawawa/
Getsuyoubi no Tawawa 2,  2021,Yokohama Animation Lab  ,ONA ,12,"Ecchi,Slice of Life,",https://www.animeunity.tv/anime/3210-getsuyoubi-no-tawawa-2/
Getsuyoubi no Tawawa Specials,  2016,PINE JAM  ,Special ,2,"Ecchi,Slice of Life,",https://www.animeunity.tv/anime/2441-getsuyoubi-no-tawawa-specials/
Getter Robo Arc,  2021,Bee Media  ,TV ,13,"Action,Mecha,Sci-fi",https://www.animeunity.tv/anime/3129-getter-robo-arc/
Getter Robo Arc (ITA),  2021,"Bee Media, Studio A-CAT  ",TV ,13,"Action,Mecha,Sci-fi",https://www.animeunity.tv/anime/3977-getter-robo-arc-ita/
Ghost Hunt,  2006,J.C.Staff  ,TV ,25,"Horror,Mystery,Shoujo",https://www.animeunity.tv/anime/3783-ghost-hunt/
Ghost in the Shell (ITA),  1995,Production I.G  ,Movie ,1,"Action,Psychological,Sci-fi",https://www.animeunity.tv/anime/3984-ghost-in-the-shell-ita/
Ghost in the Shell: Stand Alone Complex (ITA),  2002,Production I.G  ,TV ,26,"Action,Mecha,Military",https://www.animeunity.tv/anime/3562-ghost-in-the-shell-stand-alone-complex-ita/
Ghost in the Shell: Stand Alone Complex 2045 (ITA),  2020,"Production I.G, Sola Digital Arts  ",ONA ,12,"Action,Mecha,Military",https://www.animeunity.tv/anime/3564-ghost-in-the-shell-stand-alone-complex-2045-ita/
Ghost in the Shell: Stand Alone Complex 2045 2 (ITA),  2022,"Production I.G, Sola Digital Arts  ",ONA ,12,"Action,Mecha,Military",https://www.animeunity.tv/anime/3779-ghost-in-the-shell-stand-alone-complex-2045-2-ita/
Ghost in the Shell: Stand Alone Complex 2nd GIG (ITA),  2004,Production I.G  ,TV ,26,"Action,Mecha,Military",https://www.animeunity.tv/anime/3563-ghost-in-the-shell-stand-alone-complex-2nd-gig-ita/
Giant Killing,  2010,Studio DEEN  ,TV ,26,"Drama,Seinen,Sports",https://www.animeunity.tv/anime/2059-giant-killing/
Gibiate,  2020,l-a-unch・BOX Studio elle  ,TV ,12,"Action,Fantasy,Horror",https://www.animeunity.tv/anime/2488-gibiate/
Gin no Guardian,  2017,Haoliners Animation League  ,TV ,12,"Adventure,Fantasy,",https://www.animeunity.tv/anime/1568-gin-no-guardian/
Gin no Guardian 2,  2018,Haoliners Animation League  ,TV ,6,"Adventure,Fantasy,",https://www.animeunity.tv/anime/1569-gin-no-guardian-2/
Ginga e Kickoff!!,  2012,NHK  ,TV ,39,"Shounen,Sports,",https://www.animeunity.tv/anime/2058-ginga-e-kickoff/
Ginga Eiyuu Densetsu -Die Neue These- Seiran 1,  2019,Production I.G  ,Movie ,4,"Action,Drama,Military",https://www.animeunity.tv/anime/1646-ginga-eiyuu-densetsu-die-neue-these-seiran-1/
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,  2018,Production I.G  ,TV ,12,"Action,Drama,Military",https://www.animeunity.tv/anime/2628-ginga-eiyuu-densetsu-die-neue-these-kaikou/
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,  2019,Production I.G  ,Movie ,4,"Action,Drama,Military",https://www.animeunity.tv/anime/1792-ginga-eiyuu-densetsu-die-neue-these-seiran-2/
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,  2019,Production I.G  ,Movie ,4,"Action,Drama,Military",https://www.animeunity.tv/anime/1879-ginga-eiyuu-densetsu-die-neue-these-seiran-3/
Gintama,  2006,Sunrise  ,TV ,201,"Action,Comedy,Historical",https://www.animeunity.tv/anime/395-gintama/
Gintama (2011),  2011,Sunrise  ,TV ,51,"Action,Comedy,Historical",https://www.animeunity.tv/anime/396-gintama-2011/
Gintama (2015),  2015,Bandai Namco Pictures  ,TV ,51,"Action,Comedy,Historical",https://www.animeunity.tv/anime/398-gintama-2015/
Gintama (2017),  2017,Bandai Namco Pictures  ,TV ,12,"Action,Comedy,Historical",https://www.animeunity.tv/anime/399-gintama-2017/
Gintama Enchousen,  2012,Sunrise  ,TV ,13,"Action,Comedy,Historical",https://www.animeunity.tv/anime/397-gintama-enchousen/
Gintama Movie 1: Shinyaku Benizakura-hen,  2010,Sunrise  ,Movie ,1,"Action,Comedy,Historical",https://www.animeunity.tv/anime/2259-gintama-movie-1-shinyaku-benizakura-hen/
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,  2013,Sunrise  ,Movie ,1,"Action,Comedy,Historical",https://www.animeunity.tv/anime/2258-gintama-movie-2-kanketsu-hen-yorozuya-yo-eien-nare/
Gintama Porori-hen,  2017,Bandai Namco Pictures  ,TV ,13,"Action,Comedy,Historical",https://www.animeunity.tv/anime/400-gintama-porori-hen/
Gintama Shirogane no Tamashii-hen,  2018,Bandai Namco Pictures  ,TV ,12,"Action,Comedy,Historical",https://www.animeunity.tv/anime/401-gintama-shirogane-no-tamashii-hen/
Gintama Shirogane no Tamashii-hen - Kouhan-sen,  2018,Bandai Namco Pictures  ,TV ,14,"Action,Comedy,Historical",https://www.animeunity.tv/anime/402-gintama-shirogane-no-tamashii-hen-kouhan-sen/
Gintama: The Final,  2021,Bandai Namco Pictures  ,Movie ,1,"Action,Comedy,Drama",https://www.animeunity.tv/anime/3714-gintama-the-final/
Gintama: The Semi-Final,  2021,Bandai Namco Pictures  ,Special ,2,"Action,Comedy,Historical",https://www.animeunity.tv/anime/3722-gintama-the-semi-final/
Ginyuu Mokushiroku Meine Liebe,  2004,Bee Train  ,TV ,13,"Fantasy,Shoujo,",https://www.animeunity.tv/anime/3384-ginyuu-mokushiroku-meine-liebe/
Ginyuu Mokushiroku Meine Liebe Wieder,  2006,Bee Train  ,TV ,13,"Drama,Fantasy,Shoujo",https://www.animeunity.tv/anime/3383-ginyuu-mokushiroku-meine-liebe-wieder/
Gira il mondo principessa stellare (ITA),  2001,Nippon Animation  ,TV ,43,"Adventure,Comedy,Drama",https://www.animeunity.tv/anime/3605-gira-il-mondo-principessa-stellare-ita/
Girlish Number,  2016,diomedéa  ,TV ,12,Slice of Life,https://www.animeunity.tv/anime/2516-girlish-number/
Girls & Panzer: Saishuushou Part 3,  2021,Actas  ,Movie ,1,"Military,School,",https://www.animeunity.tv/anime/3455-girls-panzer-saishuushou-part-3/
Girls Bravo: First Season,  2004,AIC Spirits  ,TV ,11,"Comedy,Ecchi,Fantasy",https://www.animeunity.tv/anime/1706-girls-bravo-first-season/
Girls Bravo: Second Season,  2005,AIC Spirits  ,TV ,13,"Comedy,Ecchi,Fantasy",https://www.animeunity.tv/anime/1707-girls-bravo-second-season/
Girls und Panzer,  2012,Actas  ,TV ,12,"Action,Military,School",https://www.animeunity.tv/anime/1149-girls-und-panzer/
Girls und Panzer Movie,  2015,Actas  ,Movie ,1,"Military,School,Sports",https://www.animeunity.tv/anime/1150-girls-und-panzer-movie/
Girls und Panzer Saishuushou,  2017,Actas  ,Movie ,1,"Military,School,",https://www.animeunity.tv/anime/2287-girls-und-panzer-saishuushou/
Girls und Panzer Saishuushou 2,  2019,Actas  ,Movie ,1,"Military,School,",https://www.animeunity.tv/anime/2286-girls-und-panzer-saishuushou-2/
Girls und Panzer Specials,  2012,Actas  ,Special ,6,"Military,School,",https://www.animeunity.tv/anime/1152-girls-und-panzer-specials/
