Title,Year,Company,Form,Episodes,Genres,Link
.hack//G.U. Returner,  2007,Bee Train  ,OVA ,1,"Adventure,Drama,Fantasy",https://www.animeunity.tv/anime/830-hackgu-returner/
.hack//Intermezzo (ITA),  2003,Bee Train  ,Special ,1,"Adventure,Fantasy,Game",https://www.animeunity.tv/anime/827-hackintermezzo-ita/
.hack//Quantum,  2011,Kinema Citrus  ,ONA ,3,"Action,Adventure,Fantasy",https://www.animeunity.tv/anime/831-hackquantum/
.hack//Roots,  2006,Bee Train  ,TV ,26,"Adventure,Drama,Fantasy",https://www.animeunity.tv/anime/829-hackroots/
.hack//Sign (ITA),  2002,Bee Train  ,TV ,26,"Adventure,Fantasy,Game",https://www.animeunity.tv/anime/445-hacksign-ita/
.hack//Tasogare no Udewa Densetsu,  2003,Bee Train  ,TV ,12,"Adventure,Comedy,Fantasy",https://www.animeunity.tv/anime/834-hacktasogare-no-udewa-densetsu/
.hack//The Movie: Sekai no Mukou ni,  2012,Anima  ,Movie ,1,"Action,Adventure,Fantasy",https://www.animeunity.tv/anime/833-hackthe-movie-sekai-no-mukou-ni/
.hack//Unison (ITA),  2003,Bee Train  ,Special ,1,"Adventure,Comedy,Fantasy",https://www.animeunity.tv/anime/828-hackunison-ita/
.hack//Versus: The Thanatos Report,  2012,CyberConnect2  ,Special ,1,"Action,Game,Sci-fi",https://www.animeunity.tv/anime/832-hackversus-the-thanatos-report/
07-Ghost,  2009,Studio Deen  ,TV ,25,"Action,Demons,Fantasy",https://www.animeunity.tv/anime/686-07-ghost/
100-man no Inochi no Ue ni Ore wa Tatteiru,  2020,Maho Film  ,TV ,12,"Action,Drama,Fantasy",https://www.animeunity.tv/anime/2796-100-man-no-inochi-no-ue-ni-ore-wa-tatteiru/
100-man no Inochi no Ue ni Ore wa Tatteiru 2,2021,,TV ,12,"Action,Drama,Fantasy",https://www.animeunity.tv/anime/3149-100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-2/
11eyes,  2009,Doga Kobo  ,TV ,12,"Action,Ecchi,Super Power",https://www.animeunity.tv/anime/1076-11eyes/
11eyes: Momoiro Genmutan,  2010,Doga Kobo  ,Special ,1,"Comedy,Ecchi,Super Power",https://www.animeunity.tv/anime/1481-11eyes-momoiro-genmutan/
12-Sai. Chiccha na Mune no Tokimeki,  2016,OLM  ,TV ,12,"Romance,School,Shoujo",https://www.animeunity.tv/anime/3554-12-sai-chiccha-na-mune-no-tokimeki/
12-Sai. Chiccha na Mune no Tokimeki 2,  2016,OLM  ,TV ,12,"Romance,School,Shoujo",https://www.animeunity.tv/anime/3555-12-sai-chiccha-na-mune-no-tokimeki-2/
18if,  2017,Gonzo  ,TV ,12,"Mystery,Supernatural,",https://www.animeunity.tv/anime/4006-18if/
2.43: Seiin Koukou Danshi Volley-bu,  2021,David Production  ,TV ,12,"School,Sports,",https://www.animeunity.tv/anime/2921-243-seiin-koukou-danshi-volley-bu/
22/7,  2020,A-1 Pictures  ,TV ,12,Music,https://www.animeunity.tv/anime/2037-227/
25-sai no Joshikousei,  2022,Lilix  ,ONA ,12,"Hentai,Romance,School",https://www.animeunity.tv/anime/4090-25-sai-no-joshikousei/
3-gatsu no Lion,  2016,Shaft  ,TV ,22,"Drama,Game,Seinen",https://www.animeunity.tv/anime/2602-3-gatsu-no-lion/
3-gatsu no Lion 2,  2017,Shaft  ,TV ,22,"Drama,Game,Seinen",https://www.animeunity.tv/anime/3978-3-gatsu-no-lion-2/
3D Kanojo: Real Girl,  2018,Hoods Entertainment  ,TV ,12,"Romance,School,Shoujo",https://www.animeunity.tv/anime/389-3d-kanojo-real-girl/
3D Kanojo: Real Girl 2,  2019,Hoods Entertainment  ,TV ,12,"Romance,School,Shoujo",https://www.animeunity.tv/anime/351-3d-kanojo-real-girl-2/
3x3 Occhi,  1991,Toei Animation  ,OVA ,4,"Action,Demons,Fantasy",https://www.animeunity.tv/anime/3302-3x3-occhi/
5 cm al secondo,  2007,CoMix Wave Films  ,Movie ,1,"Drama,Romance,Slice of Life",https://www.animeunity.tv/anime/3747-5-cm-al-secondo/
5 cm al secondo (ITA),  2007,CoMix Wave Films  ,Movie ,1,"Drama,Romance,Slice of Life",https://www.animeunity.tv/anime/3748-5-cm-al-secondo-ita/
5-toubun no Hanayome,  2019,Tezuka Productions  ,TV ,12,"Comedy,Harem,Romance",https://www.animeunity.tv/anime/348-5-toubun-no-hanayome/
5-toubun no Hanayome ∬,  2021,Bibury Animation Studios  ,TV ,12,"Comedy,Harem,Romance",https://www.animeunity.tv/anime/2911-5-toubun-no-hanayome/
6 Lovers,2021,,OVA ,1,"Comedy,Drama,Romance",https://www.animeunity.tv/anime/3018-6-lovers/
7 Seeds,  2019,Gonzo  ,TV ,12,"Adventure,Drama,Mystery",https://www.animeunity.tv/anime/1039-7-seeds/
7 Seeds (ITA),  2019,Gonzo  ,ONA ,12,"Adventure,Drama,Mystery",https://www.animeunity.tv/anime/911-7-seeds-ita/
7 Seeds 2 (ITA),  2020,Gonzo  ,ONA ,12,"Adventure,Drama,Mystery",https://www.animeunity.tv/anime/2153-7-seeds-2-ita/
86: Eighty Six,  2021,A-1 Pictures  ,TV ,11,"Action,Drama,Mecha",https://www.animeunity.tv/anime/2995-86-eighty-six/
86: Eighty Six 2,  2021,A-1 Pictures  ,TV ,12,"Action,Drama,Mecha",https://www.animeunity.tv/anime/3224-86-eighty-six-2/
86: Eighty Six Special,  2021,A-1 Pictures  ,Special ,1,"Action,Drama,Military",https://www.animeunity.tv/anime/3114-86-eighty-six-special/
91 Days,  2016,Shuka  ,TV ,12,"Action,Drama,Historical",https://www.animeunity.tv/anime/50-91-days/
A Couple of Cuckoos,  2022,"SynergySP, Shin-Ei Animation  ",TV ,24,"Comedy,Harem,Romance",https://www.animeunity.tv/anime/3648-a-couple-of-cuckoos/
A Day Before Us (ITA),  2017,LICO  ,ONA ,10,"Romance,Slice of Life,",https://www.animeunity.tv/anime/1867-a-day-before-us-ita/
A Day Before Us 2 (ITA),  2018,LICO  ,ONA ,15,"Romance,Slice of Life,",https://www.animeunity.tv/anime/1944-a-day-before-us-2-ita/
"A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized",  2022,Studio LAN  ,ONA ,12,"Adventure,Comedy,Fantasy",https://www.animeunity.tv/anime/3905-a-herbivorous-dragon-of-5000-years-gets-unfairly-villainized/
A Little Snow Fairy Sugar,  2001,J.C.Staff  ,TV ,24,"Comedy,Fantasy,Slice of Life",https://www.animeunity.tv/anime/3627-a-little-snow-fairy-sugar/
A Silent Voice,  2016,Kyoto Animation  ,Movie ,1,"Drama,Romance,Slice of Life",https://www.animeunity.tv/anime/3752-a-silent-voice/
A Silent Voice (ITA),  2016,Kyoto Animation  ,Movie ,1,"Drama,Romance,Slice of Life",https://www.animeunity.tv/anime/3753-a-silent-voice-ita/
A Will Eternal,  2020,B.CMAY PICTURES  ,ONA ,52,"Action,Comedy,Fantasy",https://www.animeunity.tv/anime/3804-a-will-eternal/
A-Channel,  2011,Studio Gokumi  ,TV ,12,"Comedy,School,Seinen",https://www.animeunity.tv/anime/2726-a-channel/
A-Channel: +A-Channel,  2011,Studio Gokumi  ,Special ,11,"Comedy,School,Seinen",https://www.animeunity.tv/anime/2727-a-channel-a-channel/
A3! Season Spring & Summer,  2020,"P.A. Works, Studio 3Hz  ",TV ,12,"Drama,Slice of Life,",https://www.animeunity.tv/anime/2297-a3-season-spring-summer/
Aa! Megami-sama! (2011),  2011,AIC  ,OVA ,3,"Comedy,Magic,Romance",https://www.animeunity.tv/anime/2949-aa-megami-sama-2011/
Aa! Megami-sama! (TV),  2005,AIC  ,TV ,24,"Comedy,Magic,Romance",https://www.animeunity.tv/anime/1735-aa-megami-sama-tv/
Aa! Megami-sama!: Sorezore no Tsubasa,  2006,AIC  ,TV ,22,"Comedy,Magic,Romance",https://www.animeunity.tv/anime/1736-aa-megami-sama-sorezore-no-tsubasa/
Aa! Megami-sama!: Tatakau Tsubasa,  2007,AIC  ,Special ,2,"Comedy,Magic,Romance",https://www.animeunity.tv/anime/2358-aa-megami-sama-tatakau-tsubasa/
Abenobashi Mahou☆Shoutengai,  2002,"Gainax, MADHOUSE  ",TV ,13,"Comedy,Ecchi,Fantasy",https://www.animeunity.tv/anime/1553-abenobashi-mahoushoutengai/
Absolute Duo,  2015,8-bit  ,TV ,12,"Action,Ecchi,Harem",https://www.animeunity.tv/anime/51-absolute-duo/
ACCA: 13-ku Kansatsu-ka,  2017,MADHOUSE  ,TV ,12,"Drama,Fantasy,Mystery",https://www.animeunity.tv/anime/2709-acca-13-ku-kansatsu-ka/
Accel World,  2012,Sunrise  ,TV ,24,"Action,Game,Romance",https://www.animeunity.tv/anime/52-accel-world/
Accel World EX,  2012,Sunrise  ,OVA ,2,"Action,Game,Romance",https://www.animeunity.tv/anime/976-accel-world-ex/
Accel World: Infinite∞Burst,  2016,Sunrise  ,Movie ,1,"Action,Game,Romance",https://www.animeunity.tv/anime/975-accel-world-infiniteburst/
Acchi Kocchi,  2012,AIC  ,TV ,12,"Comedy,Romance,School",https://www.animeunity.tv/anime/1556-acchi-kocchi/
Acchi Kocchi: Place=Princess,  2012,AIC  ,Special ,1,"Comedy,Romance,School",https://www.animeunity.tv/anime/1557-acchi-kocchi-placeprincess/
Ace Attorney,  2016,A-1 Pictures  ,TV ,24,"Comedy,Drama,Mystery",https://www.animeunity.tv/anime/3598-ace-attorney/
Ace Attorney 2,  2018,CloverWorks  ,TV ,23,"Comedy,Drama,Mystery",https://www.animeunity.tv/anime/3599-ace-attorney-2/
Action Heroine Cheer Fruits,  2017,Diomedéa  ,TV ,12,"Comedy,School,Slice of Life",https://www.animeunity.tv/anime/3519-action-heroine-cheer-fruits/
Actors: Songs Connection,  2019,Drive  ,TV ,12,"Music,School,",https://www.animeunity.tv/anime/1636-actors-songs-connection/
Adachi to Shimamura,  2020,Tezuka Productions  ,TV ,12,"Romance,School,Shoujo Ai",https://www.animeunity.tv/anime/2824-adachi-to-shimamura/
Africa no Salaryman,  2019,Hot Zipang  ,TV ,12,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/2710-africa-no-salaryman/
Afro Samurai,  2007,Gonzo  ,TV ,5,"Action,Adventure,Samurai",https://www.animeunity.tv/anime/2869-afro-samurai/
Afro Samurai Movie,  2007,Gonzo  ,Movie ,1,"Action,Adventure,Samurai",https://www.animeunity.tv/anime/2891-afro-samurai-movie/
Afro Samurai: Resurrection,  2009,Gonzo  ,Movie ,1,"Action,Adventure,Samurai",https://www.animeunity.tv/anime/2870-afro-samurai-resurrection/
Aggressive Retsuko (ONA),  2018,Fanworks  ,ONA ,10,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/1252-aggressive-retsuko-ona/
Aggressive Retsuko (ONA) 2,  2019,Fanworks  ,ONA ,10,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/1253-aggressive-retsuko-ona-2/
Aggressive Retsuko (ONA) 3 (ITA),  2020,Fanworks  ,ONA ,10,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/2759-aggressive-retsuko-ona-3-ita/
Aggressive Retsuko (ONA) 4,  2021,Fanworks  ,ONA ,10,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/3353-aggressive-retsuko-ona-4/
Aggressive Retsuko (ONA) 4 (ITA),  2021,Fanworks  ,ONA ,10,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/3354-aggressive-retsuko-ona-4-ita/
Aggressive Retsuko: We Wish You a Metal Christmas,  2018,Fanworks  ,ONA ,1,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/1254-aggressive-retsuko-we-wish-you-a-metal-christmas/
Aharen-san wa Hakarenai,  2022,Felix Film  ,TV ,12,"Comedy,Romance,School",https://www.animeunity.tv/anime/3649-aharen-san-wa-hakarenai/
Ahiru no Sora,  2019,diomedéa  ,TV ,50,"Drama,School,Shounen",https://www.animeunity.tv/anime/1579-ahiru-no-sora/
Aho Girl,  2017,diomedéa  ,TV ,12,"Comedy,Romance,School",https://www.animeunity.tv/anime/53-aho-girl/
Ai no Kusabi (2012),  2012,AIC  ,OVA ,4,"Drama,Romance,Sci-fi",https://www.animeunity.tv/anime/1984-ai-no-kusabi-2012/
Ai no Kusabi (ITA),  1992,AIC  ,OVA ,2,"Drama,Romance,Sci-fi",https://www.animeunity.tv/anime/1985-ai-no-kusabi-ita/
Ai Tenchi Muyou!,  2014,AIC  ,TV ,60,"Comedy,Sci-fi,Shounen",https://www.animeunity.tv/anime/2312-ai-tenchi-muyou/
Ai Yori Aoshi,  2002,J.C. Staff  ,TV ,24,"Comedy,Drama,Harem",https://www.animeunity.tv/anime/2326-ai-yori-aoshi/
Ai Yori Aoshi: Enishi,  2003,J.C. Staff  ,TV ,12,"Comedy,Drama,Harem",https://www.animeunity.tv/anime/2325-ai-yori-aoshi-enishi/
Ai Yori Aoshi: Enishi - Miyuki,  2003,J.C. Staff  ,Special ,1,"Comedy,Drama,Romance",https://www.animeunity.tv/anime/2327-ai-yori-aoshi-enishi-miyuki/
AIKa (ITA),  1997,Studio Fantasia  ,OVA ,7,"Action,Adventure,Comedy",https://www.animeunity.tv/anime/3586-aika-ita/
AIKa R-16: Virgin Mission,  2007,Studio Fantasia  ,OVA ,3,"Action,Comedy,Ecchi",https://www.animeunity.tv/anime/3587-aika-r-16-virgin-mission/
AIKa Zero,  2009,Studio Fantasia  ,OVA ,3,"Action,Adventure,Comedy",https://www.animeunity.tv/anime/3588-aika-zero/
Air,  2005,Kyoto Animation  ,TV ,12,"Drama,Romance,Slice of Life",https://www.animeunity.tv/anime/3729-air/
Air Gear,  2006,Toei Animation  ,TV ,25,"Action,Comedy,Ecchi",https://www.animeunity.tv/anime/905-air-gear/
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,  2010,Satelight  ,ONA ,3,"Action,Comedy,Ecchi",https://www.animeunity.tv/anime/906-air-gear-kuro-no-hane-to-nemuri-no-mori-break-on-the-sky/
Air in Summer,  2005,Kyoto Animation  ,Special ,2,"Comedy,Drama,Romance",https://www.animeunity.tv/anime/3843-air-in-summer/
Air Movie,  2005,Toei Animation  ,Movie ,1,"Drama,Romance,Supernatural",https://www.animeunity.tv/anime/3730-air-movie/
Aiura,  2016,LIDENFILMS  ,TV ,12,"Comedy,School,Shounen",https://www.animeunity.tv/anime/3522-aiura/
Ajimu: Kaigan Monogatari,  2001,Actas  ,ONA ,4,"Comedy,Drama,Romance",https://www.animeunity.tv/anime/3565-ajimu-kaigan-monogatari/
Ajin,  2016,POLYGON PICTURES  ,TV ,13,"Action,Horror,Mystery",https://www.animeunity.tv/anime/670-ajin/
Ajin 2,  2016,POLYGON PICTURES  ,TV ,13,"Action,Horror,Mystery",https://www.animeunity.tv/anime/671-ajin-2/
Akachan to Boku,  1996,Studio Pierrot  ,TV ,35,"Comedy,Drama,Shoujo",https://www.animeunity.tv/anime/2650-akachan-to-boku/
Akagami no Shirayuki-hime,  2015,BONES  ,TV ,12,"Action,Drama,Fantasy",https://www.animeunity.tv/anime/17-akagami-no-shirayuki-hime/
Akagami no Shirayuki-hime 2,  2016,BONES  ,TV ,12,"Drama,Fantasy,Romance",https://www.animeunity.tv/anime/18-akagami-no-shirayuki-hime-2/
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",  2016,BONES  ,OVA ,1,"Drama,Fantasy,Romance",https://www.animeunity.tv/anime/1688-akagami-no-shirayuki-hime-nandemonai-takaramono-kono-page/
Akame ga Kill!,  2014,White Fox  ,TV ,24,"Action,Adventure,Drama",https://www.animeunity.tv/anime/19-akame-ga-kill/
Akaneiro ni Somaru Saka,  2008,TNK  ,TV ,12,"Comedy,Ecchi,Harem",https://www.animeunity.tv/anime/1483-akaneiro-ni-somaru-saka/
Akaneiro ni Somaru Saka: Hardcore,  2009,TNK  ,Special ,1,"Comedy,Ecchi,Harem",https://www.animeunity.tv/anime/1484-akaneiro-ni-somaru-saka-hardcore/
Akanesasu Shoujo,  2018,"DandeLion Animation Studio, Jumonji, Okuruto Noboru  ",TV ,12,"Action,School,Sci-fi",https://www.animeunity.tv/anime/3791-akanesasu-shoujo/
Akatsuki no Yona,  2014,Studio Pierrot  ,TV ,24,"Action,Adventure,Comedy",https://www.animeunity.tv/anime/54-akatsuki-no-yona/
Akatsuki no Yona OVA,  2015,Studio Pierrot  ,OVA ,3,"Action,Comedy,Fantasy",https://www.animeunity.tv/anime/1887-akatsuki-no-yona-ova/
Akebi's Sailor Uniform,  2022,CloverWorks  ,TV ,12,"School,Slice of Life,",https://www.animeunity.tv/anime/3435-akebis-sailor-uniform/
Aki no Kanade,  2015,J.C.Staff  ,Movie ,1,"Music,School,Slice of Life",https://www.animeunity.tv/anime/3358-aki-no-kanade/
Aki-Sora,  2009,Hoods Entertainment  ,OVA ,1,"Ecchi,Hentai,Romance",https://www.animeunity.tv/anime/2268-aki-sora/
Aki-Sora: Yume no Naka,  2010,Hoods Entertainment  ,OVA ,2,"Ecchi,Hentai,Romance",https://www.animeunity.tv/anime/2267-aki-sora-yume-no-naka/
Akiba Maid War,  2022,P.A. Works  ,TV ,12,,https://www.animeunity.tv/anime/4074-akiba-maid-war/
Akiba's Trip The Animation,  2017,GONZO  ,TV ,13,"Action,Comedy,Ecchi",https://www.animeunity.tv/anime/2711-akibas-trip-the-animation/
Akikan!,  2009,Brain's Base  ,TV ,12,"Comedy,Ecchi,Fantasy",https://www.animeunity.tv/anime/2707-akikan/
Akikan!: Kan Ippatsu!? Onsen Panic,  2009,Brain's Base  ,OVA ,1,"Comedy,Ecchi,",https://www.animeunity.tv/anime/2708-akikan-kan-ippatsu-onsen-panic/
Akira (ITA),  1988,Tokyo Movie Shinsha  ,Movie ,1,"Action,Adventure,Horror",https://www.animeunity.tv/anime/3726-akira-ita/
Akkun to Kanojo,  2018,Yumeta Company  ,TV ,25,"Comedy,Josei,Romance",https://www.animeunity.tv/anime/1732-akkun-to-kanojo/
Aku no Hana,  2013,ZEXCS  ,TV ,13,"Drama,Psychological,Romance",https://www.animeunity.tv/anime/994-aku-no-hana/
Akudama Drive,  2020,Studio Pierrot  ,TV ,12,"Action,Sci-fi,",https://www.animeunity.tv/anime/2823-akudama-drive/
Akudama Drive (ITA),  2020,Studio Pierrot  ,TV ,12,"Action,Sci-fi,",https://www.animeunity.tv/anime/3580-akudama-drive-ita/
Akuma no Riddle,  2014,diomedéa  ,TV ,12,"Action,School,Shoujo Ai",https://www.animeunity.tv/anime/55-akuma-no-riddle/
Akuma no Riddle Special,  2014,diomedéa  ,Special ,1,"Action,Comedy,Ecchi",https://www.animeunity.tv/anime/1668-akuma-no-riddle-special/
Aldnoah.Zero,  2014,A-1 Pictures  ,TV ,12,"Action,Mecha,Military",https://www.animeunity.tv/anime/20-aldnoahzero/
Aldnoah.Zero 2nd Season,  2015,"A-1 Pictures, TROYCA  ",TV ,12,"Action,Mecha,Sci-fi",https://www.animeunity.tv/anime/21-aldnoahzero-2nd-season/
Alé alé alé o-o (ITA),  1993,Toei Animation  ,TV ,58,"Action,Comedy,Drama",https://www.animeunity.tv/anime/3493-ale-ale-ale-o-o-ita/
Alice in Deadly School,  2021,Hoods Entertainment  ,OVA ,1,"Comedy,School,Shounen",https://www.animeunity.tv/anime/3048-alice-in-deadly-school/
Alice or Alice,  2018,EMT Squared  ,TV ,12,"Seinen,Slice of Life,",https://www.animeunity.tv/anime/3607-alice-or-alice/
Alice to Zouroku,  2017,J.C.Staff  ,TV ,12,"Adventure,Mystery,Seinen",https://www.animeunity.tv/anime/3608-alice-to-zouroku/
All Out!!,  2016,"MADHOUSE, TMS Entertainment  ",TV ,25,"School,Seinen,Sports",https://www.animeunity.tv/anime/2712-all-out/
Amaama to Inazuma,  2016,TMS Entertainment  ,TV ,12,"Comedy,Seinen,Slice of Life",https://www.animeunity.tv/anime/63-amaama-to-inazuma/
Amaenaide yo!!,  2005,Studio Deen  ,TV ,12,"Comedy,Ecchi,Harem",https://www.animeunity.tv/anime/1493-amaenaide-yo/
Amaenaide yo!! Katsu!!,  2006,Studio Deen  ,TV ,12,"Comedy,Ecchi,Harem",https://www.animeunity.tv/anime/1494-amaenaide-yo-katsu/
Amagami SS,  2010,AIC  ,TV ,26,"Comedy,Romance,School",https://www.animeunity.tv/anime/1051-amagami-ss/
Amagami SS OVA,  2011,AIC  ,OVA ,2,"Romance,School,",https://www.animeunity.tv/anime/2261-amagami-ss-ova/
Amagami SS+ Plus,  2012,AIC  ,TV ,13,"Comedy,Romance,School",https://www.animeunity.tv/anime/1052-amagami-ss-plus/
Amagami SS+ Plus Picture Drama,  2012,AIC  ,Special ,1,Romance,https://www.animeunity.tv/anime/3365-amagami-ss-plus-picture-drama/
Amagami SS+ Plus: Extra Episode+ Plus,  2012,AIC  ,Special ,6,Romance,https://www.animeunity.tv/anime/3366-amagami-ss-plus-extra-episode-plus/
Amagi Brilliant Park,  2014,Kyoto Animation  ,TV ,13,"Comedy,Drama,Fantasy",https://www.animeunity.tv/anime/110-amagi-brilliant-park/
Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,  2015,Kyoto Animation  ,Special ,1,"Comedy,Fantasy,Magic",https://www.animeunity.tv/anime/683-amagi-brilliant-park-nonbirishiteiru-hima-ga-nai/
Amanchu!,  2016,J.C.Staff  ,TV ,12,"Comedy,School,Shounen",https://www.animeunity.tv/anime/3928-amanchu/
Amanchu! 2,  2018,J.C.Staff  ,TV ,12,"Comedy,School,Shounen",https://www.animeunity.tv/anime/3929-amanchu-2/
Ameiro Cocoa sideG,  2019,EMT Squared  ,TV ,12,"Comedy,Slice of Life,",https://www.animeunity.tv/anime/362-ameiro-cocoa-sideg/
Amnesia,  2013,Brain's Base  ,TV ,12,"Fantasy,Harem,Josei",https://www.animeunity.tv/anime/1576-amnesia/
Amnesia OVA,  2013,Brain's Base  ,OVA ,1,"Fantasy,Harem,Shoujo",https://www.animeunity.tv/anime/1577-amnesia-ova/
Ancient Girl’s Frame,  2021,Seven Stone Entertainment  ,ONA ,12,"Action,Mecha,Sci-fi",https://www.animeunity.tv/anime/3283-ancient-girls-frame/
Ane Log: Moyako Nee-san no Tomaranai Monologue,  2014,Brain's Base  ,OVA ,3,"Comedy,Ecchi,School",https://www.animeunity.tv/anime/1389-ane-log-moyako-nee-san-no-tomaranai-monologue/
Anemone: Eureka Seven Hi-Evolution,  2018,BONES  ,Movie ,1,"Adventure,Drama,Mecha",https://www.animeunity.tv/anime/2689-anemone-eureka-seven-hi-evolution/
Ange Vierge,  2016,SILVER LINK.  ,TV ,12,"Adventure,Fantasy,Magic",https://www.animeunity.tv/anime/2221-ange-vierge/
Angel Beats!,  2010,P.A. Works  ,TV ,13,"Action,Comedy,Drama",https://www.animeunity.tv/anime/314-angel-beats/
Angel Beats! Specials,  2010,P.A. Works  ,Special ,2,"Action,Comedy,School",https://www.animeunity.tv/anime/1309-angel-beats-specials/
Angel Beats!: Another Epilogue,  2010,P.A. Works  ,Special ,1,"Drama,School,Supernatural",https://www.animeunity.tv/anime/1308-angel-beats-another-epilogue/
Angel Densetsu,  1996,Toei Animation  ,OVA ,1,"Action,Comedy,School",https://www.animeunity.tv/anime/2234-angel-densetsu/
Angel Heart,  2005,TMS Entertainment  ,TV ,50,"Action,Drama,Mystery",https://www.animeunity.tv/anime/3972-angel-heart/
Angolmois: Genkou Kassenki,  2018,NAZ  ,TV ,12,"Action,Drama,Historical",https://www.animeunity.tv/anime/261-angolmois-genkou-kassenki/
Ani ni Tsukeru Kusuri wa Nai!,  2017,"Fanworks, Imagineer  ",TV ,12,"Comedy,School,Slice of Life",https://www.animeunity.tv/anime/966-ani-ni-tsukeru-kusuri-wa-nai/
Ani ni Tsukeru Kusuri wa Nai! 2,  2018,Fanworks. Imagineer  ,TV ,24,"Comedy,School,Slice of Life",https://www.animeunity.tv/anime/1317-ani-ni-tsukeru-kusuri-wa-nai-2/
Ani ni Tsukeru Kusuri wa Nai! 3,  2019,Fanworks. Imagineer  ,TV ,12,"Comedy,School,Slice of Life",https://www.animeunity.tv/anime/1962-ani-ni-tsukeru-kusuri-wa-nai-3/
Anima Yell!,  2018,Doga Kobo  ,TV ,12,"Comedy,School,Sports",https://www.animeunity.tv/anime/2771-anima-yell/
Animegataris,  2017,WAO World  ,TV ,12,"Comedy,Parody,School",https://www.animeunity.tv/anime/2740-animegataris/
Anitore! EX,  2015,Rising Force  ,TV ,12,"Comedy,Sports,",https://www.animeunity.tv/anime/1343-anitore-ex/
Anitore! XX: Hitotsu Yane no Shita de,  2016,Rising Force  ,TV ,12,"Comedy,Sports,",https://www.animeunity.tv/anime/1344-anitore-xx-hitotsu-yane-no-shita-de/
Anne Happy♪,  2016,SILVER LINK.  ,TV ,12,"Comedy,School,Slice of Life",https://www.animeunity.tv/anime/1530-anne-happy/
Ano Hana,  2011,A-1 Pictures  ,TV ,11,"Drama,Slice of Life,Supernatural",https://www.animeunity.tv/anime/3926-ano-hana/
Ano Hana (ITA),  2011,A-1 Pictures  ,TV ,11,"Drama,Slice of Life,Supernatural",https://www.animeunity.tv/anime/2713-ano-hana-ita/
Ano Hana Movie,  2013,A-1 Pictures  ,Movie ,1,"Drama,Slice of Life,Supernatural",https://www.animeunity.tv/anime/3362-ano-hana-movie/
Ano Natsu de Matteru,  2012,J.C. Staff  ,TV ,12,"Comedy,Drama,Romance",https://www.animeunity.tv/anime/561-ano-natsu-de-matteru/
"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.",  2014,J.C. Staff  ,Special ,1,"Comedy,Drama,Romance",https://www.animeunity.tv/anime/562-ano-natsu-de-matteru-bokutachi-wa-koukou-saigo-no-natsu-wo-sugoshinagara-ano-natsu-de-matteiru/
Another,  2012,P.A. Works  ,TV ,12,"Horror,Mystery,School",https://www.animeunity.tv/anime/2714-another/
Another World,  2019,Graphinica  ,ONA ,3,Sci-fi,https://www.animeunity.tv/anime/3750-another-world/
Another: The Other - Inga,  2012,P.A. Works  ,OVA ,1,"Horror,Mystery,",https://www.animeunity.tv/anime/3749-another-the-other-inga/
Antidote,  2020,Seven Stone Entertainment  ,ONA ,13,"Comedy,Shounen Ai,Slice of Life",https://www.animeunity.tv/anime/2293-antidote/
Ao Haru Ride,  2014,Production I.G  ,TV ,12,"Comedy,Drama,Romance",https://www.animeunity.tv/anime/326-ao-haru-ride/
Ao Haru Ride OVA,  2014,Production I.G  ,OVA ,2,"Romance,School,Shoujo",https://www.animeunity.tv/anime/1753-ao-haru-ride-ova/
Ao no Exorcist,  2011,A-1 Pictures  ,TV ,25,"Action,Demons,Fantasy",https://www.animeunity.tv/anime/554-ao-no-exorcist/
Ao no Exorcist Movie,  2012,A-1 Pictures  ,Movie ,1,"Action,Demons,Fantasy",https://www.animeunity.tv/anime/556-ao-no-exorcist-movie/
Ao no Exorcist: Kuro no Iede,  2011,A-1 Pictures  ,Special ,1,"Action,Demons,Fantasy",https://www.animeunity.tv/anime/557-ao-no-exorcist-kuro-no-iede/
Ao no Exorcist: Kyoto Fujouou-hen,  2017,A-1 Pictures  ,TV ,12,"Action,Demons,Fantasy",https://www.animeunity.tv/anime/555-ao-no-exorcist-kyoto-fujouou-hen/
Ao no Exorcist: Kyoto Fujouou-hen OVA,  2017,A-1 Pictures  ,OVA ,2,"Action,Demons,Fantasy",https://www.animeunity.tv/anime/558-ao-no-exorcist-kyoto-fujouou-hen-ova/
Ao no Kanata no Four Rhythm,  2016,GONZO  ,TV ,12,"Drama,School,Sci-fi",https://www.animeunity.tv/anime/851-ao-no-kanata-no-four-rhythm/
Aoashi,  2022,Production I.G  ,TV ,24,"Seinen,Sports,",https://www.animeunity.tv/anime/3660-aoashi/
